original_name,canonical_name,action
"大米(稻米、黍、稻谷?,A01004""",,removed
VC啤酒,VC啤酒,kept
丁珠鱼,丁珠鱼,kept
丁香,丁香,kept
丁香鱼(干),丁香鱼(干),kept
三刀蜜,三刀蜜,kept
三粮小麦(55度),三粮小麦(55度),kept
三鲜豆皮,三鲜豆皮,kept
东方对虾,东方对虾,kept
丝瓜,丝瓜,kept
丝路春酒,丝路春酒,kept
两公婆,两公婆,kept
中华沙棘酒,中华沙棘酒,kept
中华猕猴桃,中华猕猴桃,kept
中国对虾,中国对虾,kept
中国红葡萄酒(16度),中国红葡萄酒(16度),kept
中国鲎,中国鲎,kept
乌林春酒,乌林春酒,kept
乌枣,乌枣,kept
乌梅,乌梅,kept
乌贼(鲜),乌贼(鲜),kept
乌鱼蛋,乌鱼蛋,kept
乌鳢,乌鳢,kept
乌鸦肉,乌鸦肉,kept
九九鱼,九九鱼,kept
乳儿糕,乳儿糕,kept
乳黄瓜,乳黄瓜,kept
二锅头(58度),二锅头(58度),kept
云耳,云耳,kept
云耳(水发),云耳(水发),kept
五星啤酒,五星啤酒,kept
五花肋条(牛),五花肋条(牛),kept
五谷香,五谷香,kept
五酿春(44.4度),五酿春(44.4度),kept
五香粉,五香粉,kept
京八件,京八件,kept
京式黄酥,京式黄酥,kept
人参果,人参果,kept
什锦菜,什锦菜,kept
优糯米,优糯米,kept
低度汉酒(37.2度),低度汉酒(37.2度),kept
余甘子,余甘子,kept
佛手瓜,佛手瓜,kept
佛手疙瘩,佛手疙瘩,kept
倭瓜,倭瓜,kept
假蜜环菌,假蜜环菌,kept
健儿粉,健儿粉,kept
健儿粉(莲子),健儿粉(莲子),kept
元红,元红,kept
兔肉,兔肉,kept
兔肉(野),兔肉(野),kept
全料蒸肉粉,全料蒸肉粉,kept
全蛋粉,全蛋粉,kept
八宝菜(酱),八宝菜(酱),kept
八爪鱼,八爪鱼,kept
八角,八角,kept
八角鱼,八角鱼,kept
六线鱼,六线鱼,kept
冬瓜,冬瓜,kept
冬苋菜,冬苋菜,kept
冬菇,冬菇,kept
冬菇,冬菇,kept
冬菇(干),冬菇(干),kept
冬菜,冬菜,kept
冰川可乐,冰川可乐,kept
冰棍,冰棍,kept
冰淇淋,冰淇淋,kept
冰淇淋粉,冰淇淋粉,kept
冰砖,冰砖,kept
冰糖,冰糖,kept
冻菜,冻菜,kept
凉州曲酒,凉州曲酒,kept
凉瓜,凉瓜,kept
凉粉,凉粉,kept
凉粉(带调料),凉粉(带调料),kept
凤尾酥,凤尾酥,kept
凤梨,凤梨,kept
凤梨草莓,凤梨草莓,kept
凸眼鱼,凸眼鱼,kept
刀豆,刀豆,kept
刀鱼,刀鱼,kept
刺玫汁(纸盒),刺玫汁(纸盒),kept
前肘(猪),前肘(猪),kept
北京啤酒,北京啤酒,kept
北京烤鸭,北京烤鸭,kept
北京特制啤酒(6度),北京特制啤酒(6度),kept
千张,千张,kept
午餐肉,午餐肉,kept
午餐肝,午餐肝,kept
南瓜,南瓜,kept
南瓜子(炒),南瓜子(炒),kept
南瓜子仁,南瓜子仁,kept
南瓜果脯,南瓜果脯,kept
卤干,卤干,kept
卤煮鸡,卤煮鸡,kept
卤猪杂,卤猪杂,kept
卷心菜,卷心菜,kept
压缩干粮,压缩干粮,kept
又孢蘑菇,又孢蘑菇,kept
叉烧肉,叉烧肉,kept
双喜沙棘酒,双喜沙棘酒,kept
发芽豆,发芽豆,kept
发菜,发菜,kept
口头鱼,口头鱼,kept
口条(猪),口条(猪),kept
口蘑,口蘑,kept
口蘑(香杏片),口蘑(香杏片),kept
可可粉,可可粉,kept
台湾枪乌贼,台湾枪乌贼,kept
台湾枪乌贼(鲜),台湾枪乌贼(鲜),kept
合锦菜,合锦菜,kept
吊蛋,吊蛋,kept
后坐(火腿),后坐(火腿),kept
后肘(猪),后肘(猪),kept
味精,味精,kept
咸沙葱,咸沙葱,kept
咸肉,咸肉,kept
咸马鲛,咸马鲛,kept
啤酒,啤酒,kept
善酿酒,善酿酒,kept
喜乐(乳酸饮料),喜乐(乳酸饮料),kept
喜头鱼,喜头鱼,kept
喜得乐,喜得乐,kept
喜鱼(多鳞喜),喜鱼(多鳞喜),kept
喜鹊肉,喜鹊肉,kept
四季豆(菜豆),四季豆(菜豆),kept
园榧,园榧,kept
圆白菜,圆白菜,kept
圆眼,圆眼,kept
圆腿,圆腿,kept
土豆,土豆,kept
土豆粉,土豆粉,kept
