food_id,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,sodium_mg_100g
1,34.0,0.3,0.0,0.0,0.0,
2,113.0,18.9,5.0,0.0,0.0,
3,359.0,0.3,17.2,50.7,16.7,
4,196.0,37.5,3.1,4.6,0.0,
5,383.0,4.1,10.5,67.9,1.4,
6,330.0,0.0,0.0,0.0,0.0,
7,240.0,6.0,10.2,31.0,0.0,
8,84.0,18.3,0.5,1.6,0.0,
9,20.0,1.0,0.2,3.6,0.6,
10,315.0,0.0,0.0,0.0,0.0,
11,63.0,10.3,1.5,2.1,0.0,
12,33.0,0.4,0.0,0.0,0.0,
13,56.0,0.8,0.6,11.9,2.6,
14,84.0,18.3,0.5,1.6,0.0,
15,80.0,0.0,0.0,0.0,0.0,
16,63.0,10.3,1.5,2.1,0.0,
17,347.0,0.0,0.0,0.0,0.0,
18,228.0,1.7,0.3,54.7,2.6,
19,219.0,6.8,2.3,42.7,33.9,
20,84.0,17.4,1.6,0.0,0.0,
21,66.0,14.1,1.1,0.0,0.0,
22,85.0,19.5,1.2,0.0,0.0,
23,136.0,21.0,4.6,2.6,0.0,
24,206.0,17.0,13.7,3.6,0.0,
25,365.0,11.7,2.7,73.5,0.0,
26,32.0,1.7,0.3,5.6,1.8,
27,352.0,0.0,0.0,0.0,0.0,
28,205.0,12.1,1.5,35.7,29.9,
29,21.0,1.5,0.2,3.4,2.6,
30,18.0,0.0,0.0,0.0,0.0,
31,123.0,18.6,5.4,0.0,0.0,
32,377.0,9.9,2.6,78.4,0.5,
33,260.0,0.0,0.0,0.0,0.0,
34,348.0,1.0,8.0,68.0,5.3,
35,435.0,7.2,16.4,64.6,3.0,
36,490.0,6.0,21.8,67.4,0.3,
37,308.0,1.2,0.6,74.5,2.9,
38,34.0,2.9,0.5,4.6,1.6,
39,344.0,9.0,1.0,74.4,0.6,
40,216.0,0.0,0.0,0.0,0.0,
41,38.0,0.3,0.1,9.0,3.4,
42,16.0,1.2,0.1,2.6,1.2,
43,51.0,3.2,0.4,8.6,1.8,
44,22.0,0.7,0.1,4.5,0.8,
45,157.0,9.5,3.7,21.5,10.4,
46,369.0,7.1,1.1,82.7,0.0,
47,352.0,8.0,0.7,78.3,0.0,
48,78.0,1.3,0.0,0.0,0.0,
49,102.0,19.7,2.2,0.9,0.0,
50,84.0,16.6,2.0,0.0,0.0,
51,342.0,8.9,1.2,73.9,0.4,
52,545.0,43.4,36.2,11.3,0.0,
53,72.0,4.6,1.4,10.2,3.2,
54,135.0,18.9,0.4,14.0,0.0,
55,195.0,3.8,5.6,32.4,43.0,
56,135.0,18.9,0.4,14.0,0.0,
57,95.0,18.4,2.1,0.7,0.0,
58,11.0,0.4,0.2,1.9,0.7,
59,30.0,3.9,0.4,2.7,2.2,
60,211.0,20.0,1.2,30.1,31.6,
61,212.0,17.8,1.3,32.3,32.3,
62,46.0,3.5,0.3,7.3,2.8,
63,45.0,0.0,0.0,11.2,0.0,
64,47.0,0.8,0.2,10.5,0.0,
65,126.0,2.4,5.3,17.3,0.0,
66,396.0,14.5,3.5,76.7,0.0,
67,153.0,2.9,6.8,20.0,0.0,
68,397.0,0.0,0.0,99.3,0.0,
69,314.0,5.4,0.1,72.9,0.0,
70,315.0,0.0,0.0,0.0,0.0,
71,19.0,1.0,0.1,3.5,1.4,
72,37.0,0.2,0.3,8.3,0.6,
73,50.0,0.3,0.5,11.2,0.1,
74,511.0,6.6,25.3,64.2,0.0,
75,41.0,0.5,0.1,9.5,1.3,
76,30.0,1.0,0.2,6.0,1.1,
77,107.0,21.1,2.3,0.5,0.0,
78,35.0,3.1,0.2,5.3,1.8,
79,127.0,17.7,4.9,3.1,0.0,
80,32.0,0.0,0.0,8.1,0.0,
81,338.0,15.1,31.5,0.0,0.0,
82,35.0,0.4,0.0,0.0,0.0,
83,436.0,16.6,38.4,6.0,0.0,
84,15.0,0.0,0.0,0.0,0.0,
85,260.0,24.5,16.0,4.5,1.0,
86,229.0,9.4,15.9,12.0,0.0,
87,181.0,9.3,0.5,34.7,0.0,
88,24.0,0.4,0.0,5.7,0.5,
89,574.0,36.0,46.1,3.8,4.1,
90,566.0,33.2,48.1,0.0,4.9,
91,336.0,0.9,0.2,82.6,0.7,
92,336.0,14.5,16.7,31.8,1.6,
93,212.0,29.4,7.9,5.8,0.0,
94,186.0,24.6,4.8,11.0,0.0,
95,22.0,1.5,0.2,3.6,1.0,
