food_id,canonical_name,category
1,VC啤酒,其他
2,丁珠鱼,肉禽水产
3,丁香,其他
4,丁香鱼(干),肉禽水产
5,三刀蜜,其他
6,三粮小麦(55度),其他
7,三鲜豆皮,豆类及制品
8,东方对虾,肉禽水产
9,丝瓜,其他
10,丝路春酒,其他
11,两公婆,其他
12,中华沙棘酒,其他
13,中华猕猴桃,水果类
14,中国对虾,肉禽水产
15,中国红葡萄酒(16度),水果类
16,中国鲎,其他
17,乌林春酒,其他
18,乌枣,水果类
19,乌梅,其他
20,乌贼(鲜),其他
21,乌鱼蛋,肉禽水产
22,乌鳢,其他
23,乌鸦肉,其他
24,九九鱼,肉禽水产
25,乳儿糕,乳制品
26,乳黄瓜,乳制品
27,二锅头(58度),其他
28,云耳,其他
29,云耳(水发),其他
30,五星啤酒,其他
31,五花肋条(牛),肉禽水产
32,五谷香,其他
33,五酿春(44.4度),其他
34,五香粉,主食及谷物
35,京八件,其他
36,京式黄酥,其他
37,人参果,其他
38,什锦菜,蔬菜类
39,优糯米,主食及谷物
40,低度汉酒(37.2度),其他
41,余甘子,其他
42,佛手瓜,其他
43,佛手疙瘩,其他
44,倭瓜,其他
45,假蜜环菌,其他
46,健儿粉,主食及谷物
47,健儿粉(莲子),主食及谷物
48,元红,其他
49,兔肉,其他
50,兔肉(野),其他
51,全料蒸肉粉,主食及谷物
52,全蛋粉,蛋类
53,八宝菜(酱),蔬菜类
54,八爪鱼,肉禽水产
55,八角,调味品
56,八角鱼,肉禽水产
57,六线鱼,肉禽水产
58,冬瓜,蔬菜类
59,冬苋菜,蔬菜类
60,冬菇,其他
61,冬菇(干),其他
62,冬菜,蔬菜类
63,冰川可乐,饮品
64,冰棍,其他
65,冰淇淋,其他
66,冰淇淋粉,主食及谷物
67,冰砖,其他
68,冰糖,零食甜品
69,冻菜,蔬菜类
70,凉州曲酒,其他
71,凉瓜,其他
72,凉粉,主食及谷物
73,凉粉(带调料),主食及谷物
74,凤尾酥,其他
75,凤梨,水果类
76,凤梨草莓,水果类
77,凸眼鱼,肉禽水产
78,刀豆,其他
79,刀鱼,肉禽水产
80,刺玫汁(纸盒),其他
81,前肘(猪),肉禽水产
82,北京啤酒,其他
83,北京烤鸭,肉禽水产
84,北京特制啤酒(6度),其他
85,千张,其他
86,午餐肉,其他
87,午餐肝,其他
88,南瓜,蔬菜类
89,南瓜子(炒),蔬菜类
90,南瓜子仁,蔬菜类
91,南瓜果脯,蔬菜类
92,卤干,其他
93,卤煮鸡,肉禽水产
94,卤猪杂,肉禽水产
95,卷心菜,蔬菜类
96,压缩干粮,其他
97,又孢蘑菇,蔬菜类
98,叉烧肉,其他
99,双喜沙棘酒,其他
100,发芽豆,蔬菜类
101,发菜,蔬菜类
102,口头鱼,肉禽水产
103,口条(猪),肉禽水产
104,口蘑,蔬菜类
105,口蘑(香杏片),蔬菜类
106,可可粉,主食及谷物
107,台湾枪乌贼,其他
108,台湾枪乌贼(鲜),其他
109,合锦菜,蔬菜类
110,吊蛋,蛋类
111,后坐(火腿),其他
112,后肘(猪),肉禽水产
113,味精,调味品
114,咸沙葱,蔬菜类
